"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ATP5B8",1.10251473184134e-142,1.25802849833214,0.576,0.194,2.21054203734189e-139,"19","ATP5B"
"AC018890.67",2.09682250917698e-142,1.25790777828163,0.703,0.284,4.20412913089985e-139,"19","AC018890.6"
"TPI18",3.63705053941216e-142,1.4236191441871,0.492,0.15,7.29228633152139e-139,"19","TPI1"
"ATP6V0B4",8.30540880363768e-142,1.44246385626789,0.404,0.108,1.66523446512935e-138,"19","ATP6V0B"
"MT-CO210",1.31892604495046e-141,1.03241186776541,0.95,0.589,2.64444672012568e-138,"19","MT-CO2"
"LGALS15",1.22012041275741e-140,1.18332225631362,0.462,0.131,2.4463414275786e-137,"19","LGALS1"
"LGALS33",1.60263372038272e-140,1.77340365894763,0.299,0.065,3.21328060936735e-137,"19","LGALS3"
"TLN18",8.749855511333e-139,1.09325615781393,0.794,0.364,1.75434603002227e-135,"19","TLN1"
"HLA-DQA13",1.27495196702065e-138,1.55024380138418,0.295,0.063,2.55627869387639e-135,"19","HLA-DQA1"
"SLC25A58",7.0237834312272e-137,1.53263449000988,0.374,0.097,1.40826857796105e-133,"19","SLC25A5"
"ID28",3.23302913576075e-136,1.32031532395287,0.464,0.137,6.4822234172003e-133,"19","ID2"
"METTL7A5",8.82703510490411e-131,1.66100358044815,0.323,0.078,1.76982053853327e-127,"19","METTL7A"
"CD48",6.63390107838259e-130,1.37421981248508,0.409,0.115,1.33009716621571e-126,"19","CD4"
"BLVRA3",2.31379913535831e-129,1.51638161991419,0.342,0.086,4.63916726639342e-126,"19","BLVRA"
"RP5-857K21.410",2.86025249631123e-129,0.854709655729525,0.991,0.742,5.73480625510402e-126,"19","RP5-857K21.4"
"ZEB28",4.46618934470714e-129,1.11048002812689,0.699,0.273,8.95470963613781e-126,"19","ZEB2"
"APOBEC3A3",8.17910388828033e-129,2.08210469758975,0.22,0.041,1.63991032960021e-125,"19","APOBEC3A"
"SAMHD16",1.31809603950061e-128,1.09577029977021,0.78,0.345,2.64278255919872e-125,"19","SAMHD1"
"SIK13",6.28856451764813e-125,1.88754835428752,0.229,0.045,1.26085718578845e-121,"19","SIK1"
"SCO23",6.90745607697593e-124,1.87423013169022,0.258,0.056,1.38494494343367e-120,"19","SCO2"
"SULF24",8.88380691726487e-124,1.24397828445304,0.443,0.134,1.78120328691161e-120,"19","SULF2"
"PPT13",2.10441220325896e-123,1.30325278201362,0.417,0.121,4.21934646753421e-120,"19","PPT1"
"TSPO3",4.96864501006201e-123,1.13496728831949,0.486,0.154,9.96213324517432e-120,"19","TSPO"
"SLC8A17",3.54778754914197e-120,1.21841789440629,0.497,0.163,7.11331403602964e-117,"19","SLC8A1"
"TMPO5",2.24614773160052e-119,1.37899972266405,0.459,0.148,4.50352620185904e-116,"19","TMPO"
"GSTP16",5.45763591047789e-119,1.32778659636878,0.473,0.155,1.09425600005082e-115,"19","GSTP1"
"FOS4",6.3051558584337e-119,0.872505701947804,0.609,0.218,1.26418374961596e-115,"19","FOS"
"H2AFZ8",1.54387200261973e-118,1.20506247143872,0.378,0.106,3.09546336525255e-115,"19","H2AFZ"
"SERP16",2.76059504204221e-118,1.16859764361425,0.523,0.182,5.53499305929462e-115,"19","SERP1"
