,C1 A,C1 B,C2,C3,C4,C5,C7,H1,H2,H3,H4,H5,H6
REACTOME_CGMP_EFFECTS,0.404702351175588,0.277638819409705,0.393696848424212,0.344172086043022,0.389194597298649,0.330665332666333,0.36368184092046,0.402201100550275,0.35767883941971,0.381690845422711,0.391195597798899,0.340170085042521,0.407703851925963
REACTOME_CHAPERONE_MEDIATED_AUTOPHAGY,0.340705913079847,0.37123098769881,0.355765634731119,0.395084310964354,0.378258198607679,0.334053654091259,0.360769847293314,0.386044406284164,0.399787868630341,0.389154612261946,0.355611280092388,0.387168113044918,0.389255199756773
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES,-0.139261675480177,-0.0536669593986558,-0.159768163913069,-0.109476147116115,-0.118439301118741,0.00802411455579097,-0.105735663787041,-0.14870498049116,-0.086335746015541,-0.115965321550345,-0.100678341826735,-0.140230754781728,-0.129677380579943
REACTOME_CHK1_CHK2_CDS1_MEDIATED_INACTIVATION_OF_CYCLIN_B_CDK1_COMPLEX,-0.271221823684202,-0.296444594885911,-0.266037762335103,-0.239767519820063,-0.25229344044911,-0.252875453011522,-0.303199617313972,-0.28053367033871,-0.281558658977563,-0.268646371730371,-0.269194518730529,-0.280207479180134,-0.267718625361748
REACTOME_CHL1_INTERACTIONS,0.240912862318966,0.21194358809713,0.250763500618314,0.267112680762035,0.267427608450934,0.259416921076083,0.232328835342692,0.270617841171901,0.259301286699873,0.28164664833975,0.291583938202206,0.261645111004704,0.296901769514597
REACTOME_CHOLESTEROL_BIOSYNTHESIS,0.216108054027013,0.391695847923962,0.250125062531266,0.369684842421211,0.271635817908955,0.328664332166083,0.150575287643822,0.167583791895948,0.309154577288644,0.36168084042021,0.314657328664332,0.329664832416208,0.260630315157579
REACTOME_CHOLESTEROL_BIOSYNTHESIS_VIA_DESMOSTEROL_BLOCH_PATHWAY,0.216108054027013,0.391695847923962,0.250125062531266,0.369684842421211,0.271635817908955,0.328664332166083,0.150575287643822,0.167583791895948,0.309154577288644,0.36168084042021,0.314657328664332,0.329664832416208,0.260630315157579
REACTOME_CHOLINE_CATABOLISM,0.220110055027514,0.130565282641321,0.284142071035518,0.203101550775388,0.104552276138069,0.168084042021011,0.195097548774387,0.222111055527764,0.212606303151576,0.234117058529265,0.271635817908955,0.226613306653327,0.293646823411706
REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM,0.211089525441665,0.188196259513572,0.205729947031228,0.195221312423061,0.193732502015949,0.190106663962615,0.205690521558311,0.213852045898967,0.188610721442987,0.189813207431603,0.0892125926395053,0.180848466273699,0.167200674411639
REACTOME_CHROMATIN_ORGANIZATION,0.183440374194978,0.233188471509357,0.224210119023057,0.172100220937043,0.135477535926296,0.110894709125596,0.174646338028791,0.214495165949066,0.213083639404092,0.197945384307086,0.177150044054292,0.166004366345334,0.188492906802343
REACTOME_CHROMOSOME_MAINTENANCE,-0.121858040744232,-0.0990590649621616,-0.0893084649772155,-0.038889612455076,-0.064394475882239,-0.0737031456137604,-0.135933141576285,-0.118811949998839,-0.0961154616386167,-0.0806862150755391,-0.0627606182652615,-0.0746028855222766,-0.070901027483678
REACTOME_CHYLOMICRON_ASSEMBLY,0.00140648133229043,0.0920473491965117,-0.0138497919244783,0.022527069575231,0.10422092840129,0.0776467077147354,0.00178693366846782,-0.00756273276682581,-0.000714267075738576,-0.000970918776989065,0.0885479015772477,0.0550981939206407,-0.0378690761730125
REACTOME_CHYLOMICRON_CLEARANCE,-0.409704852426213,-0.449724862431216,-0.410205102551276,-0.402201100550275,-0.404202101050525,-0.453726863431716,-0.419709854927464,-0.381690845422711,-0.424712356178089,-0.422711355677839,-0.477738869434717,-0.478739369684842,-0.408704352176088
REACTOME_CHYLOMICRON_REMODELING,-0.409704852426213,-0.449724862431216,-0.410205102551276,-0.402201100550275,-0.404202101050525,-0.453726863431716,-0.419709854927464,-0.381690845422711,-0.424712356178089,-0.422711355677839,-0.477738869434717,-0.478739369684842,-0.408704352176088
REACTOME_CILIUM_ASSEMBLY,-0.0423960915333229,0.106313810672614,-0.016334742511369,0.159556843933178,0.132449162475448,0.148326483272145,0.00182329271120889,-0.00993411338018664,0.0926400618188078,0.104548000810194,0.084290088619371,0.11077121016079,0.0451614730057558
REACTOME_CIRCADIAN_CLOCK,0.0753581730194696,0.139116281781677,0.100625224224178,0.116239873597905,0.0810139310963,0.090719044188651,0.117982407164331,0.0895574917248483,0.12512354017081,0.0848752856971725,0.0957039942699951,0.158461549808137,0.0617281102851972
REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE,0.0645322661330665,0.217608804402201,0.0905452726363182,0.169084542271136,0.225112556278139,0.217108554277139,0.0645322661330665,0.0550275137568784,0.127563781890945,0.166583291645823,0.240120060030015,0.11855927963982,0.0940470235117559
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,-0.0761615778902071,-0.0359873440109917,-0.110279413131083,-0.0778381567366204,-0.0927169686541833,-0.0155688460153521,-0.0439052187394888,-0.0855298971555127,-0.0483081388703183,-0.0782303289623052,-0.0773245898026971,-0.104115068242084,-0.0880557027006633
REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS,0.0883345331299168,0.0835545185798197,0.0639067965941852,0.0902593747936963,0.0592404546556542,0.137909526092857,0.222721220326551,0.03655539284678,0.0951028108979349,0.0377272606835621,0.0256155101994788,0.0479295470853713,0.023959588272011
REACTOME_CLASS_C_3_METABOTROPIC_GLUTAMATE_PHEROMONE_RECEPTORS,-0.49524162680741,-0.415121646737455,-0.445166639263688,-0.46269288490399,-0.45017413801806,-0.474210132039046,-0.482722879921479,-0.445166639263688,-0.481220630295168,-0.485727379174103,-0.442662889886502,-0.455181636772432,-0.416623896363766
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION,0.222760116219931,0.255796255560341,0.174498449676438,0.205848755132521,0.220096457365372,0.217158604453534,0.243934685369604,0.196523142450213,0.196756961807629,0.183444669853047,0.155402429244419,0.191934123277423,0.140819792652768
REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS,0.155174945401072,0.14098453477042,0.163412036704823,0.177199272870835,0.164488945836978,0.192422606306118,0.155610132402526,0.171423269494926,0.186778038027426,0.187600318625981,0.1680827046274,0.176708754196815,0.197158442501115
REACTOME_CLEC7A_DECTIN_1_SIGNALING,0.152281539084096,0.254930597155331,0.117814391163113,0.170743922521626,0.14616156285331,0.176172247703376,0.204982851047488,0.145280696464248,0.18210705035675,0.145857914240074,0.152154655144152,0.193911813028154,0.0817014599983461
REACTOME_CLEC7A_INFLAMMASOME_PATHWAY,-0.260130065032516,-0.293146573286643,-0.305152576288144,-0.327163581790895,-0.323661830915458,-0.355177588794397,-0.0840420210105052,-0.172086043021511,-0.282141070535268,-0.27863931965983,-0.332666333166583,-0.28464232116058,-0.301150575287644
REACTOME_CO_INHIBITION_BY_CTLA4,0.156598757360275,0.150013917087733,0.0825167624132663,0.0871529817934071,0.0950413530008439,0.115922454608934,0.194851266559087,0.16180427873593,0.134457405274163,0.0774847686537946,0.10747907876138,0.130690730609866,0.0843941857129712
REACTOME_CO_INHIBITION_BY_PD_1,0.135852479613588,0.193925152303708,0.173077564884099,0.144664200542612,0.173132714574937,0.175615779639965,0.219119818896719,0.201286422221246,0.242167316203181,0.201999665273062,0.199147382710517,0.223678765381148,0.152477342337194
REACTOME_CO_STIMULATION_BY_CD28,0.159198123814136,0.132137731861829,0.110179266032909,0.10450099195425,0.107814866416761,0.10525945002296,0.180924868191927,0.204698943533561,0.153061101039273,0.14406899327794,0.116867824548844,0.144160319604878,0.123298931283647
REACTOME_COBALAMIN_CBL_VITAMIN_B12_TRANSPORT_AND_METABOLISM,0.0360406782176237,-0.0122786107005892,0.0990875703271333,-0.00625783278891267,0.131564799805455,0.116768356390882,-0.0353544661888559,0.0941747700365796,0.0328612544522524,0.00907131189337894,0.00924048681304943,0.00845478811179655,0.0762019117882022
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES,0.0444697354893744,0.0323520266497633,0.101838608740244,0.0604255891626488,0.110923296766812,0.0602096079665809,0.0380082198167218,0.109031909160658,0.0490781993941796,0.113553758166673,0.0787938672969553,0.0565023506711437,0.0922115132207615
REACTOME_COLLAGEN_CHAIN_TRIMERIZATION,0.0366604820537404,-0.00053346360713622,0.118863850264997,0.0498360661199556,0.0779723015383898,0.0250365612104943,0.0185482355826955,0.121078105185105,0.0454951030811193,0.13058517685496,0.0683161034185521,0.0401160365227551,0.110314239372025
REACTOME_COLLAGEN_DEGRADATION,0.0356194720331035,0.0870015234681176,0.0157493618354526,0.0328468782977584,0.0408145982427337,0.017786654591348,0.0360494025522621,0.056892691226749,0.0187812893984956,0.0399652597985703,0.00958837588240146,0.0136707871616436,0.00188074446511742
REACTOME_COLLAGEN_FORMATION,0.10044371577311,0.13075683672972,0.132709140753527,0.138341515793816,0.156709167953875,0.123804450390344,0.110113075206549,0.142032120580675,0.112557684844876,0.161021686124593,0.106112204405835,0.129706320979835,0.115810206020272
REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION,-0.0999647484031307,-0.0852251816746573,-0.186618609350307,-0.119052524009032,-0.0844446783803476,0.0606797519692191,-0.0135542912341023,-0.180275021084257,-0.0658710824286064,-0.189743417915847,-0.225688464456309,-0.212743061109071,-0.203412406379266
REACTOME_COMPLEMENT_CASCADE,-0.140842578236798,-0.0806563262113019,-0.142850388799198,-0.131728596839863,0.0963321472750193,-0.127681924299669,-0.217142659357956,-0.301827456050252,-0.26460418125093,-0.269593365997151,-0.248700673513404,-0.261017187612615,-0.286953278614471
REACTOME_COMPLEX_I_BIOGENESIS,0.424028192170032,0.445996601554289,0.451950850821019,0.460193346540076,0.445369194000227,0.457636867361575,0.416018229733264,0.427358265426285,0.443106476755546,0.454188984668758,0.453834851468669,0.462915236493433,0.444412111093116
REACTOME_COMPLEX_III_ASSEMBLY,0.177794656097873,0.291186749338028,0.219538426186615,0.274947995308598,0.28658376601844,0.294930797476552,0.205958132254536,0.1644137559923,0.246940733908092,0.27373397045863,0.243374475126046,0.268041230012622,0.192581942148629
REACTOME_COMPLEX_IV_ASSEMBLY,0.313962564224647,0.301645766807776,0.26941358635253,0.278037314219219,0.291964023841024,0.317103164706536,0.315948172540051,0.260019701963778,0.271962972774951,0.276583922604472,0.2605378605748,0.273626591497447,0.257151627331878
REACTOME_CONDENSATION_OF_PROMETAPHASE_CHROMOSOMES,-0.193000108154394,-0.134209766436479,-0.139625140830855,-0.0819526655875526,-0.102548438957391,-0.0974516996734364,-0.219099409192174,-0.182862125468909,-0.128208236362271,-0.0817491922007118,-0.112575073734741,-0.0974922761576106,-0.0981159434871696
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES,-0.188844864576763,-0.141780220193973,-0.136387009717096,-0.0990097757266922,-0.130539874658352,-0.0960264851675673,-0.221272374707003,-0.182574474609784,-0.143915784923077,-0.0916524614220903,-0.121507708651752,-0.111415898512304,-0.0914759694469934
REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,0.111271828650224,0.0751533083694763,0.111550024829277,0.0798882855447305,0.0491749091417423,0.0632123591735659,0.13438337505663,0.134424455394775,0.09417075827628,0.0830132417495996,0.10070303019462,0.117103566090973,0.08920256213646
REACTOME_CONSTITUTIVE_SIGNALING_BY_AKT1_E17K_IN_CANCER,0.0596023111419803,0.101809794547971,-0.00351241541496731,0.0720605037348742,0.00490938419842742,0.126090125298722,0.149352030723539,-0.0112423071969154,-0.0299695876460388,-0.0378020654241874,0.0118898667966429,0.069348266664707,-0.0215773256333732
REACTOME_CONSTITUTIVE_SIGNALING_BY_EGFRVIII,0.477238619309655,0.466733366683342,0.480740370185093,0.492746373186593,0.477238619309655,0.485742871435718,0.467733866933467,0.47423711855928,0.477238619309655,0.48424212106053,0.483241620810405,0.482741370685343,0.485742871435718
